序号,原图标题,猫娘单角色数,人类单角色数,单角色合计,猫娘组合立绘,人类组合立绘,单角色目录,原始绿幕目录,校验,第一轮背景,第二轮背景
01,卷首图版一_克里特港口：货封、船工与修船,3,2,5,01_卷首图版一_克里特港口：货封、船工与修船/组合立绘/猫娘组.png,01_卷首图版一_克里特港口：货封、船工与修船/组合立绘/人类组.png,01_卷首图版一_克里特港口：货封、船工与修船/单角色立绘,01_卷首图版一_克里特港口：货封、船工与修船/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,01_卷首图版一_克里特港口：货封、船工与修船/背景图/第一轮_背景.png,01_卷首图版一_克里特港口：货封、船工与修船/背景图/第二轮_背景.png
02,卷首图版二_北海冬夜：称量、船只与修理,3,2,5,02_卷首图版二_北海冬夜：称量、船只与修理/组合立绘/猫娘组.png,02_卷首图版二_北海冬夜：称量、船只与修理/组合立绘/人类组.png,02_卷首图版二_北海冬夜：称量、船只与修理/单角色立绘,02_卷首图版二_北海冬夜：称量、船只与修理/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,02_卷首图版二_北海冬夜：称量、船只与修理/背景图/第一轮_背景.png,02_卷首图版二_北海冬夜：称量、船只与修理/背景图/第二轮_背景.png
03,卷首图版三_南方水城：水门、长路与工具,3,2,5,03_卷首图版三_南方水城：水门、长路与工具/组合立绘/猫娘组.png,03_卷首图版三_南方水城：水门、长路与工具/组合立绘/人类组.png,03_卷首图版三_南方水城：水门、长路与工具/单角色立绘,03_卷首图版三_南方水城：水门、长路与工具/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,03_卷首图版三_南方水城：水门、长路与工具/背景图/第一轮_背景.png,03_卷首图版三_南方水城：水门、长路与工具/背景图/第二轮_背景.png
04,卷首图版四_威尼斯港：木料、船台与急件,3,1,4,04_卷首图版四_威尼斯港：木料、船台与急件/组合立绘/猫娘组.png,04_卷首图版四_威尼斯港：木料、船台与急件/组合立绘/人类组.png,04_卷首图版四_威尼斯港：木料、船台与急件/单角色立绘,04_卷首图版四_威尼斯港：木料、船台与急件/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,04_卷首图版四_威尼斯港：木料、船台与急件/背景图/第一轮_背景.png,04_卷首图版四_威尼斯港：木料、船台与急件/背景图/第二轮_背景.png
05,图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护,2,1,3,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/组合立绘/猫娘组.png,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/组合立绘/人类组.png,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/单角色立绘,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/背景图/第一轮_背景.png,05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护/背景图/第二轮_背景.png
06,图02_史前窝群：姐妹分工、共同照护与低位居所,3,2,5,06_图02_史前窝群：姐妹分工、共同照护与低位居所/组合立绘/猫娘组.png,06_图02_史前窝群：姐妹分工、共同照护与低位居所/组合立绘/人类组.png,06_图02_史前窝群：姐妹分工、共同照护与低位居所/单角色立绘,06_图02_史前窝群：姐妹分工、共同照护与低位居所/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,06_图02_史前窝群：姐妹分工、共同照护与低位居所/背景图/第一轮_背景.png,06_图02_史前窝群：姐妹分工、共同照护与低位居所/背景图/第二轮_背景.png
07,图03_两河城邦的兵籍、泥板登记与专业分工,2,2,4,07_图03_两河城邦的兵籍、泥板登记与专业分工/组合立绘/猫娘组.png,07_图03_两河城邦的兵籍、泥板登记与专业分工/组合立绘/人类组.png,07_图03_两河城邦的兵籍、泥板登记与专业分工/单角色立绘,07_图03_两河城邦的兵籍、泥板登记与专业分工/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,07_图03_两河城邦的兵籍、泥板登记与专业分工/背景图/第一轮_背景.png,07_图03_两河城邦的兵籍、泥板登记与专业分工/背景图/第二轮_背景.png
08,图04_印度河城市：排水、屋顶通行与多尺度设施,3,2,5,08_图04_印度河城市：排水、屋顶通行与多尺度设施/组合立绘/猫娘组.png,08_图04_印度河城市：排水、屋顶通行与多尺度设施/组合立绘/人类组.png,08_图04_印度河城市：排水、屋顶通行与多尺度设施/单角色立绘,08_图04_印度河城市：排水、屋顶通行与多尺度设施/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,08_图04_印度河城市：排水、屋顶通行与多尺度设施/背景图/第一轮_背景.png,08_图04_印度河城市：排水、屋顶通行与多尺度设施/背景图/第二轮_背景.png
09,图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记,3,1,4,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/组合立绘/猫娘组.png,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/组合立绘/人类组.png,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/单角色立绘,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/背景图/第一轮_背景.png,09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记/背景图/第二轮_背景.png
10,图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格,3,2,5,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/组合立绘/猫娘组.png,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/组合立绘/人类组.png,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/单角色立绘,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/原始绿幕,PNG 可解码；透明立绘含有效 Alpha,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/背景图/第一轮_背景.png,10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格/背景图/第二轮_背景.png
