时代文件夹,第五轮文件,宽度,高度,SHA256
"01_卷首图版一_克里特港口：货封、船工与修船","背景图/第五轮_背景.png",1536,1024,7a02986e530f5169d9b362023eb8da57f2bbd380409f05d1f83a4c6734541eee
"02_卷首图版二_北海冬夜：称量、船只与修理","背景图/第五轮_背景.png",1536,1024,d60d3ee5a3832a0c8fa72e3a62963523300d1c82abbe56ab7298d05674957d20
"03_卷首图版三_南方水城：水门、长路与工具","背景图/第五轮_背景.png",1536,1024,178d0e72963642430402dfc69e81d63b4d3925cd142fccb0504e37247e584e39
"04_卷首图版四_威尼斯港：木料、船台与急件","背景图/第五轮_背景.png",1536,1024,ecb1317e796b76fd74f8f07379dd1094bac099db3832ad6c891aa2b00a271b8b
"05_图01_公元前六千纪的河岸聚落：夜哨、捕鱼与共同照护","背景图/第五轮_背景.png",1536,1024,1559f97ebe17b83fc05b907803fa45788e9d2883fe8a2843c7c6736dcac849f3
"06_图02_史前窝群：姐妹分工、共同照护与低位居所","背景图/第五轮_背景.png",1536,1024,113be95aac1fdb348f616b02f92ccb19fbe653e0cdf7c31c859f72446495e209
"07_图03_两河城邦的兵籍、泥板登记与专业分工","背景图/第五轮_背景.png",1536,1024,b79a9ac64e777eda269cfdba301df1c1b6981332bde7654b0bc0bb78ecf31094
"08_图04_印度河城市：排水、屋顶通行与多尺度设施","背景图/第五轮_背景.png",1536,1024,c045a23e8985c44fbc8c5e00ac084a742ccf587beb395cf5e3fb4ec212ae37dc
"09_图05_新王国时期的尼罗河神庙粮仓：封印、洪水刻度与王权登记","背景图/第五轮_背景.png",1536,1024,7853cd10b720e375b57f9811fffc12b68d2fbdd8d50d10922c5e22cab172b7b6
"10_图06_古典雅典的柱廊之外：受表彰的勇敢与被拒绝的公民资格","背景图/第五轮_背景.png",1536,1024,ec70249ea7b10892b3bed8b2a3eff3aaf68b33cc49f963d044c43e4ccd7480cc
"11_图07_罗马家内：解放文书与仍未消失的身份等级","背景图/第五轮_背景.png",1536,1024,c5cbab7d02a880fb2305aaf47c609a5b866acbcef7428fab44313ed33fccc0a6
"12_图08_汉代边塞：瞭望、军报与烽燧警讯","背景图/第五轮_背景.png",1536,1024,0e3817881f3acdf26b402edd37c1b390cb9c9e348b1cc263583862bbdbc17a19
"13_图09_中世纪修院：冬季庇护、誓约与服务债务","背景图/第五轮_背景.png",1536,1024,f7e4cea077c5bd42377cfdfe21467f0cec8631265684221c140c4aec62e9f001
"14_图10_萨珊波斯的驿站黄昏：货封、路线判断与长途疲劳","背景图/第五轮_背景.png",1536,1024,2849f107946d1be488615e1816382a3b6ebeb4e0d4a018eeb51198b5559f1d00
"15_图11_阿拔斯时代的商队：夜哨、路线翻译与长途疲劳","背景图/第五轮_背景.png",1536,1024,c8b59c6dc1dfe75807efd20ac4aa90619207e40a52863d7caa3d955af634ab49
"16_图12_马里帝国的跨撒哈拉商路：金衡、警讯与水源","背景图/第五轮_背景.png",1536,1024,b14967055c3994ba7247a812d9d8982b4d63aa60ea57312bf7e889d3e0063570
